add-yield-m,4,10000,80000,111061595,1388,0
add-yield-m,8,10000,160000,246573697,1541,0
add-yield-m,12,10000,240000,375324102,1563,0
add-yield-c,2,10000,40000,25493187,637,0
add-yield-c,4,10000,80000,52291224,653,0
add-yield-c,8,10000,160000,124529721,778,0
add-yield-c,12,10000,240000,195509184,814,0
add-yield-s,2,10000,40000,25078800,626,0
add-yield-s,4,10000,80000,58976852,737,0
add-yield-s,8,1000,16000,19987412,1249,0
add-yield-s,12,1000,24000,44920716,1871,0
add-m,1,10000,20000,821731,41,0
add-m,2,10000,40000,4545904,113,0
add-m,4,10000,80000,16714961,208,0
add-m,8,10000,160000,35145611,219,0
add-m,12,10000,240000,54835326,228,0
add-c,1,10000,20000,1172764,58,0
add-c,2,10000,40000,1496526,37,0
add-c,4,10000,80000,4956497,61,0
add-c,8,10000,160000,10964369,68,0
add-c,12,10000,240000,21218799,88,0
add-s,1,10000,20000,382648,19,0
add-s,2,10000,40000,3475211,86,0
add-s,4,10000,80000,12957457,161,0
add-s,8,10000,160000,50261500,314,0
add-s,12,10000,240000,105417620,439,0
